Epoch,Loss_Train,Loss_Validation,Interclass_variance_Train,Interclass_variance_Validation,Calinsky-Harabasz_Train,Calinsky-Harabasz_Validate,HI_weight,I_weight,S_weight,Band4
0,-9.11558,-10.330398,2.814552676067251,0.23753180123094353,126629.0,229069.1,0.5,0.5,0.5,0.5
1,-9.864598,-10.475406,2.9649164349589228,0.2384338043484604,135663.81,231641.2,0.5,0.5,0.5,0.5
2,-9.902351,-10.326106,2.969645309442825,0.20670762887311867,133714.39,181547.78,0.5,0.5,0.5,0.5
3,-9.937777,-10.09107,2.913314159191941,0.21473257044999627,132346.36,186935.5,0.5,0.5,0.5,0.5
4,-9.994478,-9.814724,2.955414303465659,0.20574950380250812,130170.29,186537.12,0.5,0.5,0.5,0.5
5,-10.031325,-10.012745,3.1800033006165904,0.184933987329714,146106.78,166014.4,0.5,0.5,0.5,0.5
6,-10.057061,-10.34222,3.137047504064185,0.13683981511348975,139192.44,95311.164,0.5,0.5,0.5,0.5
7,-10.133522,-10.600491,3.1981389625179872,0.13589848490664735,144191.94,107832.11,0.5,0.5,0.5,0.5
8,-10.069257,-10.156424,3.1786106446124904,0.1346084941760637,144404.6,111932.67,0.5,0.5,0.5,0.5
9,-10.079998,-10.268333,3.217009284056985,0.21838141729676863,144079.77,198046.53,0.5,0.5,0.5,0.5
10,-10.110638,-10.069114,3.2351976266454585,0.2129333349002991,144078.89,193169.55,0.5,0.5,0.5,0.5
11,-10.167309,-10.18186,3.211869761638809,0.18526158421082073,145476.94,163263.11,0.5,0.5,0.5,0.5
12,-10.152901,-10.04015,3.254433717149368,0.14329414813255426,146692.58,109283.44,0.5,0.5,0.5,0.5
13,-10.160689,-9.471289,3.3206645863776316,0.15217920140275965,149246.73,118045.516,0.5,0.5,0.5,0.5
14,-10.2385435,-10.377007,3.5877161175176298,0.2261181286739884,163589.44,208442.2,0.5,0.5,0.5,0.5
15,-10.419635,-10.333605,4.028977011856114,0.20730636676307768,193765.9,181974.48,0.5,0.5,0.5,0.5
16,-10.420831,-10.354193,4.089586521342426,0.22276440542918863,198214.28,203980.1,0.5,0.5,0.5,0.5
17,-10.462478,-10.459827,4.084437530396826,0.2195987833001709,198083.28,198023.33,0.5,0.5,0.5,0.5
18,-10.457885,-10.444563,4.067240812415548,0.22396881284657866,196747.62,205676.69,0.5,0.5,0.5,0.5
19,-10.431667,-10.407511,4.071105193535914,0.21840279389653006,196374.8,200088.03,0.5,0.5,0.5,0.5
20,-10.926212,-11.456119,5.806338780297665,0.3894051746465266,291189.56,304302.8,0.7193142175674438,0.23718969523906708,0.2046501487493515,0.7032455801963806
21,-11.807411,-11.8824,9.108561263114098,0.5341075016185641,367494.1,387868.06,0.8237951397895813,0.10000000149011612,0.10000000149011612,0.7857754826545715
